,분야,대학,계열,"전형
구분",,학과,#REF!,2027,2026,,,,,,26-25,2025학년,,,,,,2024,,,,,,3개년,2023학년도,,,,,"입결2
구분",2027,2026,25수능최저기준,24수능최저기준,2027,2026,2025,24전형방법,"대학별고사
일정(26기준)",2026,"2025 변경사항
KEY- 코멘트","일반/
지역",구분
번호,,,,,전형명,,,모집인원,모집인원,경쟁률,충원률,입결70%,"평균
50%",비고,차이,모집인원,경쟁률,추합,입결70%,"평균
50%",비고,"모집
인원",경쟁률,추합,입결70%,"평균
50%",비고,입결평균,"모집
인원",경쟁률,추합,"평균
50%컷",70% 컷,,수능최저,수능최저,,,전형방법,전형방법,전형방법,,,"변동, 특이사항",,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,37,39,40
1,경영,서울대,인문,종합,지역균형선발,경영대학,#REF!,26,26,1.88 ,,,,,,26,2.92 ,0 ,1.22 ,1.16 ,,26,2.42 ,0,1.18,1.12,,1.14 ,30,3.07 ,2,1.15 ,1.21 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
2,경제,서울대,인문,종합,지역균형선발,경제학부,#REF!,7,7,3.86 ,,,,,,7,3.14 ,0 ,1.11 ,1.09 ,,12,2.33 ,0,1.18,1.09,,1.10 ,20,3.25 ,0,1.12 ,1.17 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
3,,서울대,인문,종합,지역균형선발,국어교육과,#REF!,5,5,2.60 ,,,,,,5,3.60 ,0 ,1.14 ,1.14 ,,5,3.40 ,1,1.18,1.03,,1.07 ,5,10.60 ,1,1.04 ,1.04 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
4,,서울대,인문,종합,지역균형선발,농경제사회학부,#REF!,11,11,2.64 ,,,,,,11,4.64 ,0 ,1.23 ,1.23 ,,11,4.09 ,0,1.42,1.39,,1.34 ,13,5.92 ,0,1.40 ,1.43 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
5,,서울대,인문,종합,지역균형선발,독어교육과,#REF!,4,4,4.75 ,,,,,,4,1.50 ,1 ,1.28 ,1.28 ,,4,4.50 ,0,1.3,1.3,,1.32 ,5,4.80 ,1,1.39 ,1.45 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
6,,서울대,인문,종합,지역균형선발,불어교육과,#REF!,4,4,4.50 ,,,,,,5,1.40 ,0 ,1.55 ,1.55 ,,5,2.40 ,0,1.32,1.32,,1.40 ,5,3.40 ,2,1.32 ,1.38 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
7,,서울대,인문,종합,지역균형선발,사회교육과,#REF!,5,5,2.80 ,,,,,,5,2.40 ,0 ,1.31 ,1.20 ,,5,4.40 ,0,1.13,1.12,,1.16 ,5,3.80 ,2,1.15 ,1.18 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
8,,서울대,인문,종합,지역균형선발,사회복지학과,#REF!,6,6,5.00 ,,,,,,6,4.00 ,0 ,1.32 ,1.22 ,,6,3.00 ,0,1.39,1.32,,1.25 ,7,4.43 ,2,1.20 ,1.29 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
9,,서울대,인문,종합,지역균형선발,사회학과,#REF!,6,6,3.00 ,,,,,,6,4.00 ,1 ,1.12 ,1.09 ,,6,4.33 ,0,1.07,1.03,,1.10 ,7,6.00 ,1,1.19 ,1.27 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
10,,서울대,인문,종합,지역균형선발,소비자학전공,#REF!,6,6,4.67 ,,,,,,6,4.67 ,0 ,1.32 ,1.22 ,,6,5.83 ,0,1.35,1.29,,1.23 ,7,8.71 ,0,1.19 ,1.29 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
11,,서울대,인문,종합,지역균형선발,심리학과,#REF!,6,6,2.50 ,,,,,,6,2.83 ,1 ,1.26 ,1.09 ,,6,2.50 ,0,1.3,1.27,,1.15 ,7,3.86 ,0,1.09 ,1.31 ,70%컷,"국,수,영,탐 중 3합 7","국,수,영,탐 중 3합 7",3합7(2),3합7(2),(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,(3배수) 서류70+면접30,11.28(금),,전형변화 없음 24입결영향 클 듯,일반,#6
